Eason Jacob,Indianapolis
Etling Danny,Seattle
Finley Ryan,Houston
Fitzpatrick Ryan,Washington
Flacco Joe,Philadelphia
Foles Nick,Chicago
Fromm Jake,Buffalo
Garoppolo Jimmy,San Francisco
Gilbert Garrett,Dallas
Glennon Mike,NY Giants
Goff Jared,Detroit
Gordon Anthony,Kansas City
Grier Will,Carolina
Haskins Dwayne,Pittsburgh
Heinicke Taylor,Washington
Henne Chad,Kansas City
Herbert Justin,LA Chargers
Hodges Devlin,LA Rams
Huntley Tyler,Baltimore
Hurts Jalen,Philadelphia
Jackson Lamar,Baltimore
Jackson Tyree,Philadelphia
Johnson Josh,San Francisco
Jones Daniel,NY Giants
Keenum Case,Cleveland
Kizer DeShone,Tennessee
Lauletta Kyle,Cleveland
Lock Drew,Denver
Locksley Kai,Miami
Love Jordan,Green Bay
Luton Jake,Jacksonville
Mahomes Patrick,Kansas City
Mariota Marcus,Las Vegas
Mayfield Baker,Cleveland
McCoy Colt,Arizona
McDonald Cole,Arizona
McGough Alex,Seattle
McSorley Trace,Baltimore
Minshew Gardner,Jacksonville
Montez Steven,Washington
Morgan James,NY Jets
Morton Jalen,Indianapolis
Murray Kyler,Arizona
Newton Cam,New England
Perkins Bryce,LA Rams
Peterman Nathan,Las Vegas
Prescott Dak,Dallas
Rodgers Aaron,Green Bay
Roethlisberger Ben,Pittsburgh
Rosen Josh,San Francisco
Rudolph Mason,Pittsburgh
Rush Cooper,Dallas
Ryan Matt,Atlanta
Rypien Brett,Denver
Shurmur Kyle,Cincinnati
Siemian Trevor,New Orleans
Sinnett Reid,Miami
Sloter Kyle,Las Vegas
Stafford Matthew,LA Rams
Stanley Nathan,Minnesota
Stevens Tommy,Carolina
Stick Easton,LA Chargers
Stidham Jarrett,New England
Streveler Chris,Arizona
Sudfeld Nate,San Francisco
Ta'amu Jordan,Kansas City
Tagovailoa Tua,Miami
Tannehill Ryan,Tennessee
Taylor Tyrod,Houston
Thorson Clayton,NY Giants
Trubisky Mitchell,Buffalo
Walker Phillip,Carolina
Watson Deshaun,Houston
Webb Davis,Buffalo
Webb Joe,NY Giants
Wentz Carson,Indianapolis
White Mike,NY Jets
Wilson Russell,Seattle
Winston Jameis,New Orleans
Wolford John,LA Rams
Woodside Logan,Tennessee
