Abdullah Ameer,Minnesota
Adams Josh,NY Jets
Ahmed Salvon,Miami
Akers Cam,LA Rams
Anderson Darius,Indianapolis
Armah Alex,New Orleans
Ballage Kalen,Pittsburgh
Barber Peyton,Washington
Bargas Jake,Minnesota
Barkley Saquon,NY Giants
Bawden Nick,Detroit
Beck Andrew,Denver
Bellamy LeVante,Denver
Benjamin Eno,Arizona
Bernard Giovani,Tampa Bay
Blasingame Khari,Tennessee
Bolden Brandon,New England
Bonnafon Reggie,Carolina
Booker Devontae,NY Giants
Boone Mike,Denver
Bradwell Darius,LA Chargers
Breida Matt,Buffalo
Brooks-James Tony,Atlanta
Brown Malcolm,Miami
Burton Michael,Kansas City
Calais Raymond,LA Rams
Cannon Trenton,Carolina
Carson Chris,Seattle
Chubb Nick,Cleveland
Chunn Jordan,NY Giants
Clark Darius,Carolina
Cohen Tarik,Chicago
Coleman Tevin,NY Jets
Collins Alex,Seattle
Conner James,Arizona
Cook Dalvin,Minnesota
Cottrell Nate,Jacksonville
Cox Jeremy,Denver
Crockett Damarea,Denver
Dallas DeeJay,Seattle
Daniel Mikey,Carolina
Davis Mike,Atlanta
Dillon AJ,Green Bay
Dobbins J.K.,Baltimore
Dowdle Rico,Dallas
Drake Kenyan,Las Vegas
Edmonds Chase,Arizona
Edmunds Trey,Pittsburgh
Edwards-Helaire Clyde,Kansas City
Ekeler Austin,LA Chargers
Elliott Ezekiel,Dallas
Evans Darrynton,Tennessee
Fournette Leonard,Tampa Bay
Freeman Royce,Denver
Gaskin Myles,Miami
Gibson Antonio,Washington
Gillaspia Cullen,NY Giants
Gordon Melvin,Denver
Gore Derrick,Kansas City
Guerriero Pete,NY Jets
Ham C.J.,Minnesota
Harris Damien,New England
Hasty JaMycal,San Francisco
Henderson Darrell,LA Rams
Henry Derrick,Tennessee
Hill Justice,Baltimore
Hilliard Dontrell,Houston
Hines Nyheim,Indianapolis
Hokit Josh,San Francisco
Holyfield Elijah,Philadelphia
Homer Travis,Seattle
Howard Jordan,Philadelphia
Howell Greg,Houston
Hunt Kareem,Cleveland
Huntley Jason,Philadelphia
Hyde Carlos,Jacksonville
Ingold Alec,Las Vegas
Ingram Mark,Houston
Jackson Justin,LA Chargers
Jacobs Josh,Las Vegas
Janovich Andy,Cleveland
Johnson D'Ernest,Cleveland
Johnson David,Houston
Johnson Jakob,New England
Johnson Kerryon,Detroit
Johnson Ty,NY Jets
Jones Aaron,Green Bay
Jones II Ronald,Tampa Bay
Jones Taiwan,Buffalo
Jones Tony,New Orleans
Jones Xavier,LA Rams
Juszczyk Kyle,San Francisco
Kamara Alvin,New Orleans
Kelley Joshua,LA Chargers
Kelly John,Cleveland
Killins Adrian,Philadelphia
Laird Patrick,Miami
LeMay Benny,Indianapolis
Lindsay Phillip,Houston
Love Bryce,Washington
Mack Marlon,Indianapolis
Mattison Alexander,Minnesota
McCaffrey Christian,Carolina
McFarland Anthony,Pittsburgh
McGuire Elijah,Kansas City
McKissic J.D.,Washington
McNichols Jeremy,Tennessee
Michel Sony,New England
Miller Lamar,Washington
Mixon Joe,Cincinnati
Mizzell Taquan,NY Giants
Montgomery David,Chicago
Moss Zack,Buffalo
Mostert Raheem,San Francisco
Muhammad Khalfani,Arizona
Murray Latavius,New Orleans
Nabers Gabe,LA Chargers
Nall Ryan,Chicago
Ogunbowale Dare,Jacksonville
Ollison Qadree,Atlanta
Olonilua Sewo,Dallas
Ozigbo Devine,Jacksonville
Patrick Jacques,Cincinnati
Penny Elijhaa,NY Giants
Penny Rashaad,Seattle
Perine Samaje,Cincinnati
Perkins Paul,Indianapolis
Perry Malcolm,Miami
Phillips Scottie,Houston
Pierce Artavis,Chicago
Pollard Tony,Dallas
Prosise C.J.,Tampa Bay
Ricard Patrick,Baltimore
Riddick Theo,Las Vegas
Robinson James,Jacksonville
Samuels Jaylen,Pittsburgh
Sanders Miles,Philadelphia
Scarlett Jordan,Miami
Scott Boston,Philadelphia
Singletary Devin,Buffalo
Smith Ito,Atlanta
Smith Keith,Atlanta
Smith Rodney,Carolina
Snell Benjamin,Pittsburgh
Stanton Johnny,Cleveland
Swift D'Andre,Detroit
Taylor J.J.,New England
Taylor Jonathan,Indianapolis
Taylor Patrick,Green Bay
Thompson Darwin,Kansas City
Vaughn Ke'Shawn,Tampa Bay
Vitale Dan,New England
Wade Christian,Buffalo
Walter Austin,San Francisco
Ward Jonathan,Arizona
Washington Dwayne,New Orleans
Watt Derek,Pittsburgh
Weber Mike,Green Bay
White James,New England
Wilkins Jordan,Indianapolis
Williams Antonio,Buffalo
Williams Damien,Chicago
Williams Darrel,Kansas City
Williams Dexter,Green Bay
Williams Jamaal,Detroit
Williams Jonathan,Washington
Williams Trayveon,Cincinnati
Williams Ty'Son,Baltimore
Wilson Jeffery,San Francisco
