Adams Davante,Green Bay
Adams Rodney,Chicago
Agholor Nelson,New England
Aiyuk Brandon,San Francisco
Allen Keenan,LA Chargers
Allison Geronimo,Detroit
Anderson Robby,Carolina
Arcega-Whiteside J.J.,Philadelphia
Ateman Marcell,Las Vegas
Bachman Alex,NY Giants
Badet Jeff,Washington
Bailey Manasseh,NY Jets
Batson Cameron,Tennessee
Bayless Omar,Carolina
Beasley Cole,Buffalo
Beckham Jr. Odell,Cleveland
Beebe Chad,Minnesota
Begelton Reggie,Green Bay
Benjamin Travis,San Francisco
Benson Trinity,Denver
Berrios Braxton,NY Jets
Blair Chris,Green Bay
Blake Christian,Atlanta
Board C.J.,NY Giants
Bolden Victor,Detroit
Bourne Kendrick,New England
Bowden Lynn,Miami
Boyd Tyler,Cincinnati
Boykin Miles,Baltimore
Bradley Ja'Marcus,Cleveland
Brown A.J.,Tennessee
Brown John,Las Vegas
Brown Marquise,Baltimore
Brown Noah,Dallas
Brown Tony,Washington
Bryant Ventell,Carolina
Butler Hakeem,Philadelphia
Cager Lawrence,NY Jets
Cain Deon,Baltimore
Callaway Antonio,Kansas City
Callaway Marquez,New Orleans
Campbell Parris,Indianapolis
Cantrell Dylan,Washington
Carter DeAndre,Washington
Cephus Quintez,Detroit
Chark D.J.,Jacksonville
Chisena Dan,Minnesota
Claypool Chase,Pittsburgh
Cleveland Tyrie,Denver
Cobb Randall,Houston
Cole Keelan,NY Jets
Cole Matt,San Francisco
Conley Chris,Houston
Cooks Brandin,Houston
Cooper Amari,Dallas
Coulter Isaiah,Houston
Coutee Keke,Houston
Cracraft River,San Francisco
Crowder Jamison,NY Jets
Davis Corey,NY Jets
Davis Gabriel,Buffalo
Davis Quartney,Indianapolis
Davis Rashard,Tennessee
Davis Reggie,Chicago
Davis Trevor,Washington
Dieter Gehrig,Kansas City
Diggs Stefon,Buffalo
Dillon Derrick,NY Giants
Doctson Josh,NY Jets
Dorsett Phillip,Jacksonville
Dortch Greg,Atlanta
Doss Keelan,Las Vegas
Dulin Ashton,Indianapolis
Duvernay Devin,Baltimore
Edwards Bryan,Las Vegas
Erickson Alex,Houston
Evans Mike,Tampa Bay
Ffrench Maurice,Kansas City
Fortson Joe,Kansas City
Foster Robert,Miami
Franklin John,Tampa Bay
Fulgham Travis,Philadelphia
Fuller Aaron,Seattle
Fuller Will,Miami
Funchess Devin,Green Bay
Gafford Rico,Arizona
Gage Russell,Atlanta
Gallup Michael,Dallas
Gandy-Golden Antonio,Washington
Gentry Tanner,Buffalo
Godwin Chris,Tampa Bay
Godwin Terry,Jacksonville
Golladay Kenny,NY Giants
Grant Jakeem,Miami
Grayson Cyril,Tampa Bay
Green A.J.,Arizona
Guidry Stephen,Dallas
Guyton Jalen,LA Chargers
Hamilton DaeSean,Denver
Hamler KJ,Denver
Hammond Josh,Jacksonville
Hardman Mecole,Kansas City
Harmon Kelvin,Washington
Harris De'Michael,Indianapolis
Harris Deonte,New Orleans
Harry N'Keal,New England
Hart Penny,Seattle
Higgins Rashard,Cleveland
Higgins Tee,Cincinnati
Hightower John,Philadelphia
Hill K.J.,LA Chargers
Hill Tyreek,Kansas City
Hilton T.Y.,Indianapolis
Hinton Kendall,Denver
Hodgins Isaiah,Buffalo
Hogan Krishawn,Arizona
Hollins Alexander,Cleveland
Hollins Mack,Miami
Hollister Cody,Tennessee
Hopkins DeAndre,Arizona
Humphrey Lil'Jordan,New Orleans
Humphries Adam,Washington
Hurd Jalen,San Francisco
Hurns Allen,Miami
Hurst John,LA Chargers
Hyman Ishmael,Carolina
Irwin Trenton,Cincinnati
Isabella Andy,Arizona
Ives Thomas,Chicago
Jackson DeSean,LA Rams
Jackson Trishton,LA Rams
James Richie,San Francisco
Jefferson Justin,Minnesota
Jefferson Van,LA Rams
Jennings Gary,Indianapolis
Jennings Jauan,San Francisco
Jeudy Jerry,Denver
Johnson Anthony,Pittsburgh
Johnson Collin,Jacksonville
Johnson Diontae,Pittsburgh
Johnson Jon'Vea,Jacksonville
Johnson Juwan,New Orleans
Johnson KeeSean,Arizona
Johnson Marcus,Tennessee
Johnson Olabisi,Minnesota
Johnson Tyler,Tampa Bay
Johnson Tyron,LA Chargers
Jones Julio,Atlanta
Jones Marvin,Jacksonville
Jones Zay,Las Vegas
Jonsen Travis,Tampa Bay
Kemp Marcus,Kansas City
Kennedy Tom,Detroit
Kidsy Darvin,Seattle
Kinsey Mason,Tennessee
Kirk Christian,Arizona
Kirkwood Keith,Carolina
Koski J.J.,LA Rams
Kumerow Jake,Buffalo
Kupp Cooper,LA Rams
Lamb CeeDee,Dallas
Lampman Jake,New Orleans
Landry Jarvis,Cleveland
Lazard Allen,Green Bay
Lockett Tyler,Seattle
Mack Austin,NY Giants
Malone Josh,NY Jets
McCloud Ray Ray,Pittsburgh
McElroy Codey,Tampa Bay
McKenzie Isaiah,Buffalo
McLaurin Terry,Washington
Merritt Kirk,Miami
Metcalf D.K.,Seattle
Meyers Jakobi,New England
Michel Marken,Carolina
Mickens Jaydon,Tampa Bay
Miller Anthony,Chicago
Miller Scott,Tampa Bay
Mims Denzel,NY Jets
Moncrief Donte,Houston
Montgomery D.J.,NY Jets
Montgomery Ty,New Orleans
Mooney Darnell,Chicago
Moore Chris,Houston
Moore D.J.,Carolina
Moore David,Carolina
Moore Jason,LA Chargers
Moore Jaylon,Baltimore
Morgan Stanley,Cincinnati
Natson JoJo,Cleveland
Nelson J.J.,Indianapolis
Olszewski Gunner,New England
Osborn K.J.,Minnesota
Parker Aaron,Dallas
Parker DeVante,Miami
Patmon Dezmon,Indianapolis
Pearson Josh,Tampa Bay
Peoples-Jones Donovan,Cleveland
Perriman Breshad,Detroit
Pettis Dante,NY Giants
Pittman Michael,Indianapolis
Powell Brandon,Buffalo
Proche James,Baltimore
Proehl Austin,San Francisco
Quinn Trey,Las Vegas
Ratley Damion,Detroit
Raymond Kalif,Detroit
Reagor Jalen,Philadelphia
Reed Joe,LA Chargers
Renfrow Hunter,Las Vegas
Reynolds Josh,Tennessee
Richardson A.J.,Arizona
Ridley Calvin,Atlanta
Ridley Riley,Chicago
Roberts Andre,Houston
Robinson Allen,Chicago
Robinson Demarcus,Kansas City
Rogers Chester,Tennessee
Ross John,NY Giants
Rowland Chris,Atlanta
Ruggs Henry,Las Vegas
Samuel Curtis,Washington
Samuel Deebo,San Francisco
Sanders Emmanuel,Buffalo
Sanu Mohamed,San Francisco
Schoen Dalton,Kansas City
Scott Jaleel,NY Jets
Sexton Mathew,Pittsburgh
Sharpe Tajae,Kansas City
Shenault Laviska,Jacksonville
Shepard Sterling,NY Giants
Sherfield Trent,San Francisco
Sills David,NY Giants
Simmons Tyler,Pittsburgh
Simon Micah,Carolina
Sims Cam,Washington
Sims Steven,Washington
Slater Matt,New England
Slayton Darius,NY Giants
Smith Devin,New England
Smith Jeff,NY Jets
Smith Tre'Quan,New Orleans
Smith Vyncint,NY Jets
Smith-Schuster JuJu,Pittsburgh
Snead Willie,Las Vegas
Spencer Diontae,Denver
St. Brown Equanimeous,Green Bay
Sutton Courtland,Denver
Swain Freddie,Seattle
Switzer Ryan,Cleveland
Tate Auden,Cincinnati
Tate Khalil,Philadelphia
Taylor Malik,Green Bay
Thielen Adam,Minnesota
Thomas Michael,New Orleans
Thomas Mike,Cincinnati
Thompson Cody,Seattle
Turner Malik,Dallas
Ursua John,Seattle
Valdes-Scantling Marquez,Green Bay
Victor Binjimen,Baltimore
Ward Greg,Philadelphia
Ward JoJo,Arizona
Washington James,Pittsburgh
Washington Scotty,Cincinnati
Watkins Quez,Philadelphia
Watkins Sammy,Baltimore
Watson Justin,Tampa Bay
Weah Jester,Chicago
Webster Nsimba,LA Rams
Westbrook Nick,Tennessee
White Cody,Pittsburgh
White Kevin,San Francisco
Whitney Isaac,Arizona
Wilkerson Kristian,New England
Williams Chad,Kansas City
Williams D'haquille,Buffalo
Williams Mike,LA Chargers
Williams Preston,Miami
Williams Tyrell,Detroit
Willies Derrick,Cleveland
Wilson Albert,Miami
Wims Javon,Chicago
Winfree Juwann,Green Bay
Woods Robert,LA Rams
Wright Isaiah,Washington
Zaccheaus Olamide,Atlanta
Zuber Isaiah,New England
Zylstra Brandon,Carolina
